REF_AREA,TIME_PERIOD,proba_decel,pred_050
EST,2012,0.3959422987367577,0
EST,2013,0.3269785000256905,0
EST,2014,0.4532338523472232,0
EST,2015,0.420248356675306,0
EST,2016,0.4508979868562218,0
EST,2017,0.6812631377923482,1
EST,2018,0.5374235953103637,1
EST,2019,0.5722883144211542,1
EST,2020,0.22279996116955,0
EST,2021,0.6420063725016333,1
FIN,2011,0.4187551910211108,0
FIN,2012,0.1938222360428381,0
FIN,2013,0.2142273199327588,0
FIN,2014,0.2461365686093764,0
FIN,2015,0.2719006122389455,0
FIN,2016,0.4117526636623078,0
FIN,2017,0.4338026889973343,0
FIN,2018,0.3245431097186219,0
FIN,2019,0.3387836525436968,0
FIN,2020,0.1836485630353017,0
FIN,2021,0.4296013387388809,0
FRA,2011,0.5931657248181458,1
FRA,2012,0.4793025722211804,0
FRA,2013,0.4814058688151556,0
FRA,2014,0.4964045406657151,0
FRA,2015,0.4978316734861936,0
FRA,2016,0.5262805403987653,1
FRA,2017,0.6138989009660738,1
FRA,2018,0.5971324816511636,1
FRA,2019,0.617380477972971,1
FRA,2020,0.1328765947640156,0
FRA,2021,0.8409393356088577,1
GRC,2011,0.0108356112415342,0
GRC,2012,0.0161707534660571,0
GRC,2013,0.043014849602079,0
GRC,2014,0.0959397545524823,0
GRC,2015,0.0883541515177314,0
GRC,2016,0.1038005764968193,0
GRC,2017,0.1595034356941965,0
GRC,2018,0.1993301089104519,0
GRC,2019,0.2657473321636858,0
GRC,2020,0.0174770854489047,0
GRC,2021,0.6835625747001782,1
IRL,2011,0.2321242040102835,0
IRL,2012,0.1810450064911939,0
IRL,2013,0.2509270402577277,0
IRL,2014,0.7281557300391315,1
IRL,2015,0.9949993243102396,1
IRL,2016,0.2845789649446272,0
IRL,2017,0.8584690698543204,1
IRL,2018,0.8296575693832102,1
IRL,2019,0.4664589735198107,0
IRL,2020,0.7413409264491391,1
IRL,2021,0.9771165804547756,1
ITA,2011,0.5059635378484452,1
ITA,2012,0.2578706067591707,0
ITA,2013,0.2903548186911566,0
ITA,2014,0.3760433851363494,0
ITA,2015,0.4265496721525347,0
ITA,2016,0.4904442334436444,0
ITA,2017,0.506461740176875,1
ITA,2018,0.4834380300546346,0
ITA,2019,0.4808117597315949,0
ITA,2020,0.0717784276754041,0
ITA,2021,0.86949558383117,1
LTU,2011,0.4753068658593611,0
LTU,2012,0.3937862370492302,0
LTU,2013,0.402084999647877,0
LTU,2014,0.4828344169194679,0
LTU,2015,0.3293420677922598,0
LTU,2016,0.4019383128263521,0
LTU,2017,0.4931244220213092,0
LTU,2018,0.5310865003737276,1
LTU,2019,0.5692282727086502,1
LTU,2020,0.2686536205789539,0
LTU,2021,0.594417518092862,1
LUX,2011,0.3169334954855233,0
LUX,2012,0.3818915918348753,0
LUX,2013,0.4457910013136933,0
LUX,2014,0.3882077847159334,0
LUX,2015,0.3838681543468015,0
LUX,2016,0.6055658197257348,1
LUX,2017,0.3708581781631087,0
LUX,2018,0.3496701710927121,0
LUX,2019,0.4451957395380884,0
LUX,2020,0.2206671757745095,0
LVA,2011,0.2009494520461831,0
LVA,2012,0.6093817292702873,1
LVA,2013,0.3313292986493266,0
LVA,2014,0.3100159795033809,0
LVA,2015,0.4869405481536654,0
LVA,2016,0.3637354488777586,0
LVA,2017,0.4231246483660276,0
LVA,2018,0.5132722230730826,1
LVA,2019,0.3083861415753016,0
LVA,2020,0.1047471131775964,0
LVA,2021,0.6613343884829244,1
MLT,2011,0.2762686552051684,0
MLT,2012,0.5467116314558796,1
MLT,2013,0.6800969187709744,1
MLT,2014,0.7978347273257737,1
MLT,2015,0.8168013319732774,1
MLT,2016,0.4947171978699494,0
MLT,2017,0.9098153327837016,1
MLT,2018,0.7731024253494669,1
MLT,2019,0.7485072464498937,1
MLT,2020,0.0329992802795153,0
MLT,2021,0.9481578643224872,1
NLD,2011,0.4174853346330906,0
NLD,2012,0.2454891187614084,0
NLD,2013,0.2834282644894982,0
NLD,2014,0.3728582447984092,0
NLD,2015,0.3578958332393848,0
NLD,2016,0.4871952396089092,0
NLD,2017,0.5090404319218717,1
NLD,2018,0.4983167839704008,0
NLD,2019,0.4920280131472169,0
NLD,2020,0.1615921597664848,0
NLD,2021,0.7606933234945945,1
PRT,2011,0.1396117079475445,0
PRT,2012,0.0790038812560368,0
PRT,2013,0.107038732363939,0
PRT,2014,0.2047709482694056,0
PRT,2015,0.2824068743751614,0
PRT,2016,0.3374363247167892,0
PRT,2017,0.4585351127882155,0
PRT,2018,0.4675592119691523,0
PRT,2019,0.4614191917319749,0
PRT,2020,0.0492892106566996,0
PRT,2021,0.6338297498357418,1
SVK,2011,0.3059598139679755,0
SVK,2012,0.2443148955448322,0
SVK,2013,0.1988674991139798,0
SVK,2014,0.3411095992440942,0
SVK,2015,0.5309979021739355,1
SVK,2016,0.3358113188693518,0
SVK,2017,0.4425170934234023,0
SVK,2018,0.5555137944149974,1
SVK,2019,0.4740536913006051,0
SVK,2020,0.1561903183578734,0
SVK,2021,0.5541996872528484,1
SVN,2011,0.2705180125176894,0
SVN,2012,0.134725913004773,0
SVN,2013,0.1695024528827267,0
SVN,2014,0.3822579088082176,0
SVN,2015,0.3554717210556519,0
SVN,2016,0.430722347214547,0
SVN,2017,0.5453996130888447,1
SVN,2018,0.5757888547159717,1
SVN,2019,0.5323112593572635,1
SVN,2020,0.1314361996779654,0
SVN,2021,0.7661122070555305,1
